职位,公司,城市,工资,发布日期,经验要求,学历
Python开发工程师(中科实数）,广州中国科学院软件应用技术研究所,北京-朝阳区,0.8-1.6万/月,07-19,3-4年经验,本科
Python开发工程师,深圳市飞比电子科技有限公司,上海-浦东新区,0.8-1.6万/月,07-19,3-4年经验,本科
Python高级开发工程师,安徽首猎者信息咨询服务有限公司,合肥-高新区,2-2.5万/月,07-19,5-7年经验,大专
Python开发工程师,重庆百城兴网络科技有限公司,重庆-渝中区,0.7-1.2万/月,07-19,无工作经验,本科
Python开发工程师,西安德云电子科技有限公司,西安-莲湖区,4-7.5千/月,07-19,无工作经验,大专
Python开发工程师,湖南波尔坤雷信息科技有限公司,长沙,4.5-9千/月,07-19,无工作经验,本科
Python开发工程师,宏兆集团,深圳-南山区,0.8-1.5万/月,07-19,2年经验,本科
Python软件开发工程师,上海品瑞医疗器械设备有限公司,上海-浦东新区,1.2-2万/月,07-19,无工作经验,大专
Python高级开发工程师--------外派绿盟网络安全业务,西安鼎拓信息科技有限公司,西安-雁塔区,0.9-1.5万/月,07-19,5-7年经验,本科
机器学习工程师（Python）,南京紫津融畅信息科技服务有限公司,南京,1-2万/月,07-19,1年经验,本科
python开发工程师,杭州迪普科技股份有限公司,北京-海淀区,10-20万/年,07-19,无工作经验,本科
python 开发工程师,杭州迪普科技股份有限公司,杭州-滨江区,0.7-1.5万/月,07-19,1年经验,本科
Python高级开发工程师,杭州盈丰软件股份有限公司,杭州,1-2万/月,07-19,5-7年经验,本科
JAVA/ Python讲师(上市外企+双休+五险一金）,童程童美济南分公司,济南-高新区,6-8千/月,07-19,无工作经验,本科
高级数据开发工程师Java/Python,同方股份有限公司,北京-海淀区,1.8-2.2万/月,07-19,2年经验,本科
python软件工程师,广州标际包装设备有限公司,广州,0.8-1.5万/月,07-19,无工作经验,本科
Python开发工程师,杭州中亚瑞程包装科技有限公司,杭州,1-1.5万/月,07-19,3-4年经验,大专
Python开发工程师,杭州瑞东机械有限公司,杭州,1-1.5万/月,07-19,3-4年经验,大专
python教师+双休+五险,芜湖斯戴姆教育科技有限公司,芜湖,4.5-6千/月,07-19,无工作经验,大专
Python开发工程师,上海诚勤刀具有限公司,上海-嘉定区,1-1.5万/月,07-19,2年经验,本科
平台软件工程师（C/C++/C#/python） 工业视觉,南京汇川工业视觉技术开发有限公司,南京,1-2万/月,07-19,无工作经验,硕士
Python开发工程师（南京）-开放平台部,中移物联网有限公司,南京,1-1.5万/月,07-19,1年经验,本科
1111PB-Python开发,平安科技（深圳）有限公司,上海-浦东新区,15-20万/年,07-19,3-4年经验,本科
Senior Retail System Engineer(Python),绫致时装（天津）有限公司,北京-朝阳区,1.5-2万/月,07-19,5-7年经验,本科
python研发,亚信软件研发中心PRD,南京,1-2万/月,07-19,2年经验,本科
Python开发工程师,上海澳马信息技术服务有限公司,上海,1-1.5万/月,07-19,2年经验,本科
Python开发工程师,因诺（上海）资产管理有限公司,北京-西城区,1-2万/月,07-19,2年经验,硕士
Python开发工程师,加绩（上海）科技服务有限公司,上海-黄浦区,1-1.5万/月,07-19,3-4年经验,本科
Devops开发工程师（Linux/Python/Docker）,上海安畅网络科技股份有限公司,上海,1-2万/月,07-19,3-4年经验,本科
Python开发工程师,上海易宝软件有限公司,西安-高新技术...,0.8-1万/月,07-19,无工作经验,大专
Python爬虫工程师,深圳理想动力信息技术有限公司,深圳-龙岗区,1.5-2.5万/月,07-19,3-4年经验,大专
PRA开发工程师（python）,北京金道天成信息系统服务有限公司,上海-静安区,1-1.5万/月,07-19,无工作经验,本科
Python开发工程师,北京航标时代检测认证有限公司,北京-丰台区,1-1.5万/月,07-19,无工作经验,本科
Python后端量化系统开发工程师,深圳派领科技有限公司,深圳-南山区,3-5万/月,07-19,3-4年经验,本科
中级python软件工程师,苏州智泰腾迪信息科技有限公司,苏州,1-1.5万/月,07-19,无工作经验,本科
Python开发工程师,无锡乐骐科技有限公司,无锡-滨湖区,0.8-1.2万/月,07-19,无工作经验,本科
Java/Python软件工程师.,南京拾柴信息科技有限公司,北京,0.8-2万/月,07-19,1年经验,大专
Python开发工程师,融奕数智科技（深圳）有限公司,南京-建邺区,1-1.5万/月,07-19,2年经验,本科
Python高级开发工程师,长沙梯度信息科技有限公司,长沙-岳麓区,1.3-2万/月,07-19,3-4年经验,大专
python开发（实习）,杭州安恒信息技术股份有限公司,杭州-滨江区,3-5千/月,07-19,无工作经验,本科
python 后端开发,瑞博恩互联网金融信息服务（上海）...,上海-长宁区,6.5-9.5千/月,07-19,1年经验,本科
Python开发工程师,广州宝巨信息技术有限公司,广州,0.8-1.5万/月,07-19,2年经验,大专
Python开发工程师,上海天玑科技股份有限公司,上海,1.5-2万/月,07-19,2年经验,大专
Python开发工程师,上海天玑数据技术有限公司,上海,1.2-2.5万/月,07-19,无工作经验,大专
Python开发工程师,上海颐为网络科技有限公司,南京,2.5-3万/月,07-19,5-7年经验,本科
WEB后台开发工程师（node.js、PHP、python或golang）,南京百尔马智能技术有限公司,南京-栖霞区,1.2-2万/月,07-19,2年经验,本科
Python开发工程师（恩九）,江苏科瑞恩自动化科技有限公司,异地招聘,1.2-2万/月,07-19,3-4年经验,大专
Python 实习生,大宇宙信息创造（中国）有限公司,苏州-工业园区,3-5千/月,07-19,无工作经验,大专
python开发工程师/大数据建模,诺贝尔曼（上海）商业投资管理有限...,上海-黄浦区,6-8千/月,07-19,无工作经验,硕士
Python开发工程师,武汉中纪生物科技有限公司,武汉-东湖新技...,0.8-1.2万/月,07-19,无工作经验,本科
初级Python工程师助理(提供住宿),大连凤凰树网络科技有限公司,大连-高新园区,3-4.5千/月,07-19,无工作经验,大专
C/C++/C#/Python软件开发工程师,上海萃兴信息科技有限公司,上海-浦东新区,6.5-12万/年,07-19,1年经验,本科
中级python开发工程师,成都博雅成信科技有限公司,成都-高新区,0.8-1.5万/月,07-19,2年经验,本科
高级软件工程师（Python）,某本地知名IT企业,苏州,1-2万/月,07-19,无工作经验,本科
系统运维工程师（python）11,上海复深蓝软件股份有限公司,上海-徐汇区,0.8-1万/月,07-19,2年经验,大专
Python工程师,南京万瑞建设工程有限公司,异地招聘,12-20万/年,07-19,无工作经验,本科
Python开发工程师,贤佳国际贸易（上海）有限公司,上海-静安区,1.5-2.5万/月,07-19,5-7年经验,本科
Python工程师,上海浦东软件园汇智软件发展有限公司,上海,1.5-2万/月,07-19,5-7年经验,本科
Python 讲师,上海腾科网络技术有限公司,上海,1-1.5万/月,07-19,2年经验,本科
Python开发工程师,通效信息科技（上海）有限公司,上海-浦东新区,1-1.5万/月,07-19,2年经验,大专
Python开发工程师,广州外宝电子商务有限公司,广州-荔湾区,0.8-1万/月,07-19,2年经验,大专
Python开发工程师,苏州城之瞳安防智能科技有限公司,苏州-相城区,0.9-1.5万/月,07-19,3-4年经验,本科
区块链量化Python工程师,润焱人力资源（上海）有限公司,上海-浦东新区,1-1.5万/月,07-19,3-4年经验,本科
Python高级开发工程师,上海奕见企业管理咨询有限公司,上海-黄浦区,1.5-2万/月,07-19,3-4年经验,本科
Python开发工程师,深圳锐博明贸易有限公司,深圳-龙华新区,1.2-1.8万/月,07-19,3-4年经验,大专
Python软件工程师,浙江闪龙科技有限公司,嘉兴,5-8千/月,07-19,1年经验,本科
编程讲师（python/C++/scratch）,重庆寅冠州教育科技有限公司,重庆-江北区,0.6-1.2万/月,07-19,无工作经验,本科
Python开发工程师,竹间智能科技（上海）有限公司,上海,2-4万/月,07-19,3-4年经验,本科
Python高级开发工程师,上海百胜软件股份有限公司,上海,1.2-2万/月,07-19,3-4年经验,大专
Python开发工程师,深圳市拓保软件有限公司,深圳-南山区,1-1.7万/月,07-19,3-4年经验,大专
Python全栈工程师,深圳微米信息服务有限公司,深圳-南山区,1.8-3万/月,07-19,1年经验,本科
Python研发工程师,上海德拓信息技术股份有限公司,上海-徐汇区,0.8-1.2万/月,07-19,无工作经验,本科
Python运维开发工程师,福州靠谱云科技有限公司,福州,0.5-1万/月,07-19,1年经验,大专
Python实习讲师/助教,湖南潭州教育网络科技有限公司成都...,成都-高新区,4-8千/月,07-19,无工作经验,大专
Python开发工程师-济南,优维科技（深圳）有限公司,济南-市中区,0.8-1.5万/月,07-19,3-4年经验,本科
Python数据处理开发工程师,广州算易软件科技有限公司,广州-海珠区,0.6-1万/月,07-19,无工作经验,本科
Python工程师,上海法辰电子科技有限公司,杭州-滨江区,0.8-1万/月,07-19,2年经验,本科
Python开发工程师,康码（上海）生物科技有限公司,上海-浦东新区,0.7-1.4万/月,07-19,3-4年经验,本科
Python开发工程师,重庆满集网络科技有限公司,重庆,0.6-1万/月,07-19,3-4年经验,大专
资深Python开发工程师,上海闹谛畔⒓际跤邢薰司,上海-闵行区,2-2.5万/月,07-19,3-4年经验,硕士
Python开发工程师,上海蒙帕信息技术有限公司,西安-高新技术...,0.8-1.3万/月,07-19,3-4年经验,大专
C/Python软件测试工程师中高级,上海佩琪信息技术有限公司,上海,0.7-1.2万/月,07-19,无工作经验,本科
Python开发工程师,武汉智美互联科技有限公司,武汉-东湖新技...,15-25万/年,07-19,3-4年经验,本科
服务端python开发（游戏行业）,北京牧游科技有限公司,北京-海淀区,1.5-2万/月,07-19,3-4年经验,本科
Python开发工程师,南京天数智芯科技有限公司,南京-雨花台区,1.2-2.4万/月,07-19,3-4年经验,本科
Python工程师,静瞳海外投资顾问（深圳）有限公司,异地招聘,1-2万/月,07-19,3-4年经验,本科
实习+Python开发工程师,成都汇融天下网络科技有限公司,成都-高新区,4.5-6千/月,07-19,无工作经验,高中
Python开发工程师,云南火凤凰消防科技有限公司,昆明,0.5-1.2万/月,07-19,2年经验,大专
Perl/Python开发工程师,天津恩梯梯数据有限公司,天津,6-8千/月,07-19,3-4年经验,本科
Python开发工程师,易虎网科技南京有限公司,南京-江宁区,1-1.5万/月,07-19,无工作经验,本科
Python高级开发工程师,杭州沃趣科技股份有限公司,杭州-滨江区,1.6-2万/月,07-19,3-4年经验,本科
Python工程师（成都）,重庆新钶电子有限公司,成都-锦江区,1-1.5万/月,07-19,5-7年经验,本科
python开发工程师,广州爱拍网络科技有限公司,广州,1-1.5万/月,07-19,3-4年经验,本科
java人工智能（python)开发签约实习生,青岛迈科思软件有限责任公司,青岛,4.5-6千/月,07-19,无工作经验,大专
Python/PHP后端程序员,上海萌果信息科技有限公司,上海-徐汇区,1-1.5万/月,07-19,3-4年经验,大专
python工程师,深圳市纽尔科技有限公司,深圳-罗湖区,1.5-3万/月,07-19,3-4年经验,本科
Python高级开发工程师,云南微加经济信息咨询有限公司,昆明,1.5-2万/月,07-19,3-4年经验,本科
高级Python开发工程师,成都银河思亩特数字技术有限公司,成都-武侯区,5-8千/月,07-19,1年经验,大专
Python开发工程师（ERP）,深圳市雨禾伟业实业有限公司,深圳-罗湖区,1-1.5万/月,07-19,无工作经验,大专
Python开发工程师,普元信息技术股份有限公司,上海-黄浦区,1.2-1.5万/月,07-19,3-4年经验,本科
Python开发工程师,上海爱富爱克斯网络科技发展有限责...,上海-浦东新区,0.8-1.5万/月,07-19,无工作经验,本科
python开发,广州嘉煌文化传播有限公司,广州-天河区,1-2万/月,07-19,3-4年经验,大专
python全栈工程师,上海邻科信息科技有限公司,上海-杨浦区,6-8千/月,07-19,2年经验,本科
高级后端Python开发工程师,广西桂呈永军科技有限公司,南宁,0.8-1.2万/月,07-19,3-4年经验,大专
Python开发工程师（数据方向）,广州市梦享网络技术有限公司,深圳-南山区,1.3-2.5万/月,07-19,3-4年经验,大专
Python高级讲师,深圳市侯大福贸易有限公司,深圳-龙华新区,1-1.5万/月,07-19,5-7年经验,本科
Python开发工程师,北京中软融通科技有限公司,北京,0.7-2万/月,07-19,2年经验,本科
Python开发工程师,武汉快玩科技有限公司,武汉-洪山区,7-9千/月,07-19,1年经验,大专
Python高级后台开发工程师,深圳市韵达速递有限公司,深圳-宝安区,1.5-2.5万/月,07-19,5-7年经验,大专
Python开发工程师,南京张力信息技术有限公司,南京-栖霞区,1-3万/月,07-19,2年经验,本科
Python开发工程师,重庆汇划科技有限公司,重庆-渝中区,0.7-1.2万/月,07-19,无工作经验,本科
Python开发工程师,南京擎盾信息科技有限公司,南京-雨花台区,1-1.5万/月,07-19,无工作经验,大专
python爬虫工程师,郑州金惠计算机系统工程有限公司,郑州-金水区,4.5-6.5千/月,07-19,2年经验,本科
Python量化工程师,上海骐骏投资发展有限公司,上海,1-1.5万/月,07-19,2年经验,本科
数字资产技术支持(svn\python\c++),深圳市德科信息技术有限公司,广州-天河区,0.8-1万/月,07-19,1年经验,本科
python开发工程师,东软云科技有限公司,广州-天河区,0.7-1.5万/月,07-19,1年经验,本科
自动化实施（shell/python）,北京中亦安图科技股份有限公司,上海,1-1.5万/月,07-19,1年经验,本科
Python开发工程师,上海畅圣计算机科技有限公司,上海-杨浦区,1-1.5万/月,07-19,无工作经验,大专
python开发工程师,安徽晶奇网络科技股份有限公司,合肥-高新区,1.2-2.4万/月,07-19,3-4年经验,本科
Python工程师,武汉康圣达医学检验所有限公司,武汉-洪山区,4.5-6千/月,07-19,2年经验,本科
对日Python web开发人员,大连运筹科技有限公司,大连,0.8-1万/月,07-19,无工作经验,本科
Software Engineer  Java and Python (back-end),无锡华云数据技术服务有限公司,无锡,1-2万/月,07-19,3-4年经验,本科
Python 嵌入式开发工程师,乐聚（深圳）机器人技术有限公司,深圳-南山区,0.6-1.5万/月,07-19,1年经验,大专
Python数据挖掘工程师,上海葵典云软件有限公司,上海,1-1.5万/月,07-19,无工作经验,本科
python数据挖掘工程师,上海国泰广告有限公司,上海-徐汇区,1-1.5万/月,07-19,2年经验,大专
编程讲师（少儿编程，scratch/python/C++）,杭州小码教育科技有限公司,杭州-滨江区,0.8-1万/月,07-19,无工作经验,本科
Python开发工程师,湖南金烽信息科技有限公司,长沙,0.8-1.5万/月,07-19,无工作经验,大专
Python开发工程师,广州微易软件有限公司,广州,0.8-1.6万/月,07-19,1年经验,大专
Python开发工程师,苏州纳智天地智能科技有限公司,重庆-沙坪坝区,0.8-1.2万/月,07-19,2年经验,本科
***python讲师,上海十维教育科技有限公司,上海-浦东新区,1500元/天,07-19,3-4年经验,本科
Python开发工程师,上海炽聚网络科技有限公司,深圳-南山区,1-1.5万/月,07-19,3-4年经验,本科
Python开发工程师,深圳市智和创兴科技有限公司,深圳-宝安区,1.2-1.8万/月,07-19,3-4年经验,本科
自动化测试工程师（Python，java）,立达信loT(深圳),深圳-南山区,1.2-1.9万/月,07-19,5-7年经验,本科
Python开发工程师,广州优飞信息科技有限公司,广州-天河区,0.6-1.6万/月,07-19,2年经验,本科
Python 工程师,广州玄泰信息科技股份有限公司,广州-天河区,0.9-1.3万/月,07-19,2年经验,本科
python开发助理（提供住宿）,郑州悠络客信息技术有限公司,郑州-高新区,3-4.5千/月,07-19,无工作经验,中专
python开发,上海宽睿信息科技有限责任公司,上海-浦东新区,0.8-2万/月,07-19,2年经验,本科
流媒体/图像算法工程师（Python）,浙江力聘科技有限公司,杭州,1.5-2.5万/月,07-19,1年经验,本科
python开发工程师,北京捷通华声科技股份有限公司,北京,1.5-2.5万/月,07-19,无工作经验,本科
软件测试工程师（C++、java、python）,北京天行汇通信息技术有限公司,北京,1-2万/月,07-19,2年经验,本科
Python开发工程师,上海优梦信息科技有限公司,上海-杨浦区,1-2万/月,07-19,无工作经验,大专
Python自动化测试,深圳市广和通无线股份有限公司,西安-高新技术...,1-1.5万/月,07-19,2年经验,本科
Python高级开发工程师,福建省万物智联科技有限公司,异地招聘,1-1.5万/月,07-19,3-4年经验,大专
Python开发工程师,上海宏路数据技术股份有限公司,上海-虹口区,0.7-1.4万/月,07-19,无工作经验,本科
Python/Odoo开发工程师,千麦实业（上海）有限公司,上海-静安区,0.7-1.2万/月,07-19,3-4年经验,本科
ETL工程师/Python工程师,北京融英乐知科技有限公司,北京-西城区,1.5-1.9万/月,07-19,5-7年经验,大专
python后端程序员,武汉乐谷在线科技有限公司,武汉-洪山区,0.6-2万/月,07-19,无工作经验,大专
Python中级工程师,上海汉得信息技术股份有限公司,西安-高新技术...,0.8-1.2万/月,07-19,2年经验,本科
python开发（可实习),大连星宇科技有限公司,大连,4.5-6千/月,07-19,无工作经验,本科
Python工程师,武汉鑫瑞鼎汇软件技术服务有限公司,武汉-东湖新技...,0.8-1万/月,07-19,2年经验,大专
Python研发工程师,合肥市合趣网络科技有限公司,南京-雨花台区,1.5-3万/月,07-19,5-7年经验,本科
（python）游戏服务器开发工程师,上海扬讯计算机科技有限责任公司,武汉,0.5-1万/月,07-19,1年经验,大专
云方向业务部门-python工程师,北京思特奇信息技术股份有限公司,西安,0.6-1万/月,07-19,2年经验,本科
云方向-python开发工程师,北京思特奇信息技术股份有限公司陕...,西安-高新技术...,0.6-1万/月,07-19,3-4年经验,本科
python开发（可实习),大连开鱼科技有限公司,大连-高新园区,4.5-6千/月,07-19,无工作经验,本科
Python开发工程师,北京思特奇信息技术股份有限公司四...,成都-高新区,0.7-1.2万/月,07-19,2年经验,本科
Python开发工程师,北京思特奇信息技术股份有限公司湖...,长沙-芙蓉区,7-9千/月,07-19,1年经验,本科
Python开发工程师,中译语通科技（青岛）有限公司,青岛,0.7-1万/月,07-19,3-4年经验,大专
编程猫少儿编程教师（Python 方向）,深圳点猫科技有限公司,深圳-宝安区,0.8-1.2万/月,07-19,无工作经验,本科
Python开发工程师,深圳市盛凯信息科技有限公司,深圳-福田区,1-1.5万/月,07-19,1年经验,大专
Python开发工程师,博彦科技股份有限公司,武汉-江夏区,0.8-1.5万/月,07-19,无工作经验,大专
资深Python工程师,火石创造（医健产业大数据）,杭州-滨江区,1.5-2.5万/月,07-19,3-4年经验,本科
Python高级开发工程师,上海悦米信息技术有限公司,上海-徐汇区,1-1.5万/月,07-19,2年经验,本科
Python后端开发工程师,钛信（上海）信息科技有限公司,上海-浦东新区,1.2-1.5万/月,07-19,3-4年经验,本科
Python程序员/开发助理（双休）,络绎科技有限公司蚌埠分公司,蚌埠,4.5-6千/月,07-19,无工作经验,大专
