职位,公司,城市,工资,发布日期,经验要求,学历
运维开发工程师-python,广州南天电脑系统有限公司,广州,0.8-1.5万/月,07-19,3-4年经验,大专
python开发工程师,广州战英网络科技有限公司,广州-天河区,1.5-2.5万/月,07-19,3-4年经验,大专
Python高级开发工程师,深圳市竞数科技有限公司,深圳-南山区,1-1.5万/月,07-19,3-4年经验,本科
研发工程师（Python/Golang/Linux C）,北京傲盾软件有限责任公司,北京-海淀区,0.5-1.5万/月,07-19,无工作经验,本科
python高级开发工程师( 机器学习方向),上海银橙文化传媒股份有限公司,上海-徐汇区,2-2.5万/月,07-19,2年经验,本科
Gis开发工程师（Python方向）,河南省现代农业大数据产业技术研究...,武汉-洪山区,1-2万/月,07-19,3-4年经验,本科
Python开发工程师 (MJ001091),哔哩哔哩,上海-杨浦区,1-2万/月,07-19,3-4年经验,本科
中级软件工程师(Python),重庆维普资讯有限公司,重庆-渝北区,0.6-1.2万/月,07-19,3-4年经验,本科
Python课程研发,妙小程,上海-徐汇区,1-1.5万/月,07-19,3-4年经验,本科
青少儿编程培训讲师（Python/C++）,立乐教育科技（上海）有限公司,上海-普陀区,1-1.5万/月,07-19,2年经验,本科
Python开发工程师（外派）,惠州市宝高网络科技有限公司,成都-高新区,3.5-4.5万/月,07-19,无工作经验,大专
Python高级开发工程师,深圳趣晓网络科技有限公司,深圳-南山区,1.5-2.5万/月,07-19,3-4年经验,本科
java人工智能（python)签约实习生,青岛青软科技有限公司,青岛-市南区,4.5-6千/月,07-19,无工作经验,大专
python爬虫工程师,长沙爱登网络科技有限公司,长沙-雨花区,0.7-1万/月,07-19,2年经验,大专
Python工程师,深圳乐通信息技术有限公司,异地招聘,1-1.5万/月,07-19,2年经验,本科
Python爬虫工程师,广州龙骐贸易有限公司,广州-白云区,0.8-1.5万/月,07-19,无工作经验,本科
系统架构师(Python),南京赛宁信息技术有限公司,南京-江宁区,1.5-2.5万/月,07-19,5-7年经验,本科
软件工程师 （Python/Web development）,新思科技（上海）Synopsys,上海,20-40万/年,07-19,无工作经验,本科
Python开发工程师,博彦科技股份有限公司,北京,1-1.5万/月,07-19,2年经验,本科
Python开发工程师,武汉睿智视讯科技有限公司,武汉-东湖新技...,0.8-1.5万/月,07-19,2年经验,本科
-Python人工智能开发工程师助理,郑州天之涯软件科技有限公司,郑州,3.8-7.8千/月,07-19,无工作经验,中专
Python开发工程师,杭州优灿科技有限公司,异地招聘,1-2万/月,07-19,无工作经验,本科
Python数据分析师,上海玖数软件有限公司,上海-普陀区,0.8-1.2万/月,07-19,2年经验,本科
python开发工程师,郑州创恒实业有限公司,郑州-金水区,0.5-1万/月,07-19,2年经验,本科
Python开发工程师,北京海量数据技术股份有限公司,杭州-江干区,1.2-2万/月,07-19,无工作经验,大专
Python高级开发工程师,上海百趣生物医学科技有限公司,上海,1-2.5万/月,07-19,3-4年经验,本科
Python开发工程师,天阳宏业科技股份有限公司,厦门,1.5-2万/月,07-19,无工作经验,本科
Python量化开发工程师,上海汇银（集团）有限公司,上海-静安区,1.8-2.5万/月,07-19,无工作经验,本科
Python金融量化工程师,福州微创网络科技有限公司,福州-鼓楼区,0.4-1万/月,07-19,1年经验,本科
现场Python脚本,成都迈思信息技术有限公司,太仓,1.5-2万/月,07-19,3-4年经验,大专
资深Python工程师,北京红铅笔广告有限公司,北京,1.8-3.6万/月,07-19,无工作经验,大专
python 工程师,广西宜钱科技有限公司,南宁,0.8-1万/月,07-19,3-4年经验,大专
Python开发工程师,上海久耶供应链管理有限公司,西安-高新技术...,7-9千/月,07-19,2年经验,本科
Python开发工程师,深圳市前海欢雀科技有限公司,深圳,1.2-1.6万/月,07-19,2年经验,大专
Python/人工智能讲师（欢迎开发转讲师）,武汉软谋教育科技有限公司,武汉-洪山区,1.5-2万/月,07-19,3-4年经验,本科
四年/python开发/后台开发工程师,上海溪纬网络科技有限公司,上海-嘉定区,1-1.5万/月,07-19,3-4年经验,本科
Python开发工程师,上海每联每信息技术有限公司大连分...,大连,6-8千/月,07-19,1年经验,大专
Python开发工程师,易诚博睿（南京）科技有限公司,南京-雨花台区,1-2万/月,07-19,2年经验,本科
软件开发工程师（ C++/Python),上海快仓智能科技有限公司,上海-徐汇区,1-3万/月,07-19,3-4年经验,本科
Python中高级开发工程师,成都国铁电气设备有限公司,成都-双流区,1.2-2.5万/月,07-19,3-4年经验,硕士
python后端工程师,湖北保重保险代理有限公司,武汉-武昌区,1.2-1.5万/月,07-19,5-7年经验,大专
Python开发工程师,上海宽带技术及应用工程研究中心,西安-雁塔区,1-1.5万/月,07-19,1年经验,本科
软件开发工程师（可实习JAVA或Python）,郑州悠络客信息技术有限公司,郑州-高新区,4.5-6千/月,07-19,无工作经验,中专
Python开发高级工程师,融联易云金融信息服务（北京）有限...,北京-海淀区,1-2万/月,07-19,2年经验,本科
Python开发工程师,科沃斯商用机器人有限公司,苏州-吴中区,0.8-1万/月,07-19,3-4年经验,本科
Python 开发工程师,深圳市德卡科技股份有限公司,西安-高新技术...,0.5-1万/月,07-19,2年经验,本科
Python开发工程师,合肥微实信息工程有限公司,合肥-经开区,4.5-6千/月,07-19,1年经验,本科
Python开发工程师,上海数据交易中心有限公司,上海,1.5-2.3万/月,07-19,3-4年经验,本科
Python开发工程师,深圳市诺维尔科技互联网有限公司,深圳-龙华新区,1-1.5万/月,07-19,无工作经验,大专
Python开发工程师,成都迪睿汇金科技有限公司,重庆-江北区,0.8-1.6万/月,07-19,3-4年经验,本科
Python开发工程师,深圳房讯通信息技术有限公司,深圳,1.5-2万/月,07-19,3-4年经验,本科
Python开发工程师,酷宝信息技术（上海）有限公司,异地招聘,1.5-3万/月,07-19,无工作经验,本科
Python开发,迈思腾科技（武汉）有限公司,武汉,0.6-1万/月,07-19,3-4年经验,大专
Python web 开发工程师,北京华胜天成科技股份有限公司,北京-海淀区,1-2万/月,07-19,无工作经验,本科
python研发工程师(前沿研究院),上海国盾量子信息技术有限公司,上海-浦东新区,1-1.5万/月,07-19,无工作经验,大专
Python开发工程师,北京奇观技术有限责任公司,南阳,4.5-6千/月,07-19,2年经验,大专
高级Python开发工程师,有因信息科技（上海）有限公司,上海-闵行区,1.5-2万/月,07-19,无工作经验,本科
"Python, Swift, Java 软件工程师",宁波创母体网络科技有限公司,宁波,4-6千/月,07-19,无工作经验,本科
Python开发工程师,深圳市大富科技股份有限公司,深圳-南山区,0.8-1.5万/月,07-19,2年经验,本科
数据分析&挖掘师（IBM SPSS/Python)10k,福州咸鱼科技有限公司,厦门,1-1.5万/月,07-19,3-4年经验,本科
软件工程师（python）,杭州沃镭智能科技股份有限公司,杭州-江干区,0.7-1.5万/月,07-19,2年经验,本科
Python开发工程师（须懂ODOO框架）,深圳前海优管信息技术有限公司,深圳,0.8-1.5万/月,07-19,1年经验,本科
Python开发工程师,上海卓易科技股份有限公司,上海-徐汇区,1-1.5万/月,07-19,2年经验,本科
Python爬虫工程师,广东赛百威信息科技有限公司,广州-黄埔区,6-9千/月,07-19,3-4年经验,本科
Python开发工程师,深圳市紫金支点技术股份有限公司,深圳-南山区,0.8-1.5万/月,07-19,1年经验,本科
Python RPA工程师,杭州今元标矩科技有限公司,杭州-江干区,1-1.5万/月,07-19,无工作经验,大专
Python开发工程师,昆明美通傲讯通信有限公司,昆明,10-15万/年,07-19,2年经验,大专
Python开发工程师（产品研发）,北京东方金信科技有限公司,北京-东城区,0.8-1.5万/月,07-19,无工作经验,本科
急聘c/c++/python/java初级开发工程师,大连天宇商务信息咨询有限公司,大连-沙河口区,6-8千/月,07-19,1年经验,大专
python工程师,深圳市比一比网络科技有限公司,深圳-南山区,1-2万/月,07-19,3-4年经验,大专
Python爬虫工程师,成都小启科技有限责任公司,成都-高新区,0.8-1万/月,07-19,2年经验,本科
Python开发工程师,明源软件,深圳-南山区,1.5-3万/月,07-19,3-4年经验,本科
资深Python工程师,北京功夫仁医网络科技有限责任公司,武汉,1.5-2.2万/月,07-19,3-4年经验,大专
Python中级工程师,广州特道信息科技有限公司,广州,1-1.5万/月,07-19,3-4年经验,大专
高级Python开发工程师（机器学习方向）,瓦戈科技（上海）有限公司,上海-浦东新区,1.5-2.5万/月,07-19,3-4年经验,本科
python爬虫数据开发工程师,营软数据（厦门）医药有限公司,厦门,0.8-1.5万/月,07-19,1年经验,本科
python工程师（机器学习方向）,玛姿宝（中国）有限公司,广州-番禺区,1.1-1.5万/月,07-19,3-4年经验,本科
python讲师（六险一金+双休）,北京金信润天信息技术股份有限公司...,武汉-洪山区,0.8-1.5万/月,07-19,2年经验,本科
Python开发工程师,上海数旦信息技术有限公司,上海-徐汇区,1-2万/月,07-19,无工作经验,本科
python 后台开发,长沙兔娱网络科技有限公司,长沙-岳麓区,0.8-1.2万/月,07-19,3-4年经验,大专
python开发工程师,福建我家网络科技有限公司,福州-鼓楼区,0.8-1.2万/月,07-19,2年经验,大专
python软件工程师,深圳市华富洋供应链有限公司,深圳-南山区,1-1.5万/月,07-19,3-4年经验,本科
python开发工程师(武汉）,深圳市云间网络科技有限公司,武汉-东湖新技...,0.8-1万/月,07-19,3-4年经验,大专
python高级工程师,深圳华智共创教育科技有限公司成都...,成都-高新区,1-1.5万/月,07-19,无工作经验,本科
Python开发工程师,武汉市星商电子商务有限公司,武汉-洪山区,1-1.5万/月,07-19,3-4年经验,本科
python开发工程师,深圳市贝多分金融科技有限公司,深圳-福田区,1-2万/月,07-19,3-4年经验,大专
青少年Python讲师,广州粤嵌通信科技股份有限公司,广州-番禺区,5-8千/月,07-19,无工作经验,大专
Python中高级开发工程师,广州腾宇电力科技有限公司,广州-天河区,1-2万/月,07-19,5-7年经验,本科
Python高级工程师/工程师,海南君莱药业有限公司,广州,1.2-1.8万/月,07-19,2年经验,本科
Python高级开发工程师,义学教育,合肥,1.2-2.4万/月,07-19,3-4年经验,本科
Python开发工程师,赞同科技股份有限公司,深圳-福田区,0.6-1.2万/月,07-19,1年经验,本科
Python高级开发工程师,合肥市合趣网络科技有限公司,合肥,1.5-2万/月,07-19,3-4年经验,本科
Python开发工程师+双休+高薪,深圳市泰雅通科技有限公司,深圳-宝安区,1.2-1.8万/月,07-19,3-4年经验,大专
Python开发工程师,临沂影漫文化传媒有限公司,临沂,6-8千/月,07-19,无工作经验,大专
Python开发工程师,宇博信诚（北京）信息技术有限公司,杭州,1.2-2万/月,07-19,3-4年经验,本科
Python开发工程师,嘉联支付有限公司,深圳-南山区,1.5-2万/月,07-19,2年经验,本科
后端高级工程师（Python）,中建材信息技术股份有限公司,北京-海淀区,1.5-2.5万/月,07-19,5-7年经验,本科
Python高级开发工程师,深圳市蓝泰源信息技术股份有限公司,武汉-江夏区,1.4-2万/月,07-19,无工作经验,本科
Python开发工程师,西安华讯科技有限责任公司,西安-高新技术...,0.9-1.6万/月,07-19,无工作经验,本科
Python工程师,广州永融科技股份有限公司,广州,0.8-1.5万/月,07-19,无工作经验,本科
Java/Python实习生(J12830),北京北大方正电子有限公司,异地招聘,2-3千/月,07-19,无工作经验,本科
高级python后端开发工程师,武汉湾流科技股份有限公司,武汉,1.5-2.5万/月,07-19,5-7年经验,硕士
Python开发工程师,上海量投网络科技有限公司,武汉-东湖新技...,0.7-1.1万/月,07-19,2年经验,大专
Python开发工程师,深圳职人网络技术有限公司,深圳-福田区,0.8-1.5万/月,07-19,2年经验,大专
Python开发工程师,上海易宝软件有限公司深圳分公司,深圳-龙岗区,1-1.5万/月,07-19,1年经验,本科
Python高级开发工程师,亚信科技（成都）有限公司,南京-雨花台区,1.5-2.4万/月,07-19,2年经验,本科
Python开发工程师,上海高恩信息科技有限公司,上海-浦东新区,0.7-1万/月,07-19,1年经验,本科
Python开发工程师,上海襄岳信息技术有限公司,上海-浦东新区,0.8-1.6万/月,07-19,2年经验,中专
Python开发工程师,深圳市中企工联保家电服务有限公司,深圳-龙岗区,1-1.5万/月,07-19,2年经验,大专
JAVA/Python开发工程师（成都）,上海步科自动化股份有限公司,成都-郫都区,0.8-1.5万/月,07-19,3-4年经验,本科
Python算法工程师,杭州野乐科技有限公司,杭州-拱墅区,0.5-1.2万/月,07-19,2年经验,本科
人工智能+Python开发实习生l,河北臻龙科技有限公司,异地招聘,4.5-6千/月,07-19,无工作经验,大专
Python开发工程师,郑州软通合力计算机技术有限公司,郑州-管城回族区,0.6-1万/月,07-19,无工作经验,本科
中级后端工程师(python/odoo）,上海存融工业装备技术有限公司,上海-松江区,1.5-2万/月,07-19,2年经验,本科
Python开发工程师,北京斯普信信息技术有限公司,北京,1-1.5万/月,07-19,2年经验,大专
Python开发工程师,北京阿提拉科技有限公司,北京,1-1.5万/月,07-19,无工作经验,本科
Python开发工程师,宁波舜宇智能科技有限公司,宁波-余姚市,15-20万/年,07-19,无工作经验,本科
Python开发工程师,上海中畅信息科技有限公司,上海-浦东新区,1-1.8万/月,07-19,3-4年经验,本科
Python游戏服务端高级开发,湖南纳米娱乐网络科技有限公司,长沙-岳麓区,1-2万/月,07-19,3-4年经验,大专
*** PYTHON 开发工程师（上海）,唯晶科技(Winking Entertainment),异地招聘,1.2-1.5万/月,07-19,无工作经验,大专
Python数据分析师,上海软科教育信息咨询有限公司,上海-闵行区,0.8-1.5万/月,07-19,无工作经验,本科
Python开发工程师,上海天泰网络技术有限公司,上海,0.8-1.5万/月,07-19,无工作经验,本科
银行业务后台开发工程师-Python,富途网络科技（深圳）有限公司,深圳-南山区,1.4-2.8万/月,07-19,1年经验,大专
Python 开发助理（ web端）,西安赛佰信息科技有限公司,西安-雁塔区,4.5-6千/月,07-19,无工作经验,大专
Python开发工程师,徐州智编信息科技有限公司,徐州,6-8千/月,07-19,无工作经验,本科
Python工程师（爬虫方向）+包住宿+周末双休+五险一金,深圳市中源航空服务有限公司,深圳,1.3-2万/月,07-19,无工作经验,大专
Python开发工程师,广州优亿信息科技有限公司,广州,0.8-1.5万/月,07-19,2年经验,本科
Python开发工程师,网易集团,广州,1.5-2万/月,07-19,无工作经验,本科
软件工程师（精通java，会Python）,民航数据通信有限责任公司,北京-海淀区,1.5-2.5万/月,07-19,3-4年经验,本科
少儿编程老师（Scratch、Python、C语言）,广州学码教育科技有限公司,广州,0.8-1万/月,07-19,无工作经验,本科
Python老师,广州编辅侠教育科技有限公司,广州-越秀区,6-8千/月,07-19,2年经验,大专
Python开发工程师（云计算）,成都同辉数联信息技术有限公司,成都-武侯区,6-8千/月,07-19,1年经验,本科
python编程老师,杭州小米智课教育科技有限公司,杭州-西湖区,6-8千/月,07-19,1年经验,大专
Python开发工程师,深圳市合元科技有限公司,深圳-宝安区,1-1.8万/月,07-19,3-4年经验,本科
python开发助理,深圳市文言科技发展有限公司,深圳,6-8千/月,07-19,无工作经验,大专
Python开发工程师（数据方向）,南通东华软件有限公司,北京-西城区,1-1.5万/月,07-19,2年经验,本科
Python开发工程师,北京天防安全科技有限公司,北京-海淀区,1-2万/月,07-19,2年经验,本科
Python软件工程师,武汉金读科技有限公司,武汉-洪山区,0.6-1.5万/月,07-19,1年经验,本科
数据开发工程师（python爬虫方向）,创业伞投资有限公司,上海-杨浦区,1-1.5万/月,07-19,2年经验,大专
python后端开发工程师,杭州麦苗网络技术有限公司,杭州-西湖区,1-1.5万/月,07-19,3-4年经验,本科
直聘python开发,杭州泉溪视维软件有限公司,杭州-西湖区,3-4.5千/月,07-19,无工作经验,大专
Python开发工程师,深圳市紫川软件有限公司,上海-浦东新区,1-1.5万/月,07-19,2年经验,大专
Java/Python工程师(量化模型分析方向),美国道富,杭州,2-3万/月,07-19,无工作经验,本科
Python开发工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.5-2万/月,07-19,1年经验,大专
Python开发工程师,北京中德福林软件科技有限公司,北京-朝阳区,1.2-1.8万/月,07-19,3-4年经验,本科
Python开发工程师,广州回头车信息科技有限公司,广州-天河区,1.5-2.5万/月,07-19,3-4年经验,大专
Python web工程师,广州市驴迹科技有限责任公司,广州-天河区,2-3.5万/月,07-19,无工作经验,大专
Python开发工程师,广州寄锦教育科技有限公司,广州-天河区,1-1.5万/月,07-19,2年经验,本科
Python讲师,达内时代科技集团有限公司,北京-海淀区,1-1.5万/月,07-19,1年经验,本科
Python初级开发工程师（代外企直招）,上海环籁网络科技有限公司,上海-浦东新区,0.6-1万/月,07-19,1年经验,本科
Python开发工程师,江苏网进科技股份有限公司,昆山,0.7-1.5万/月,07-19,2年经验,大专
Python开发工程师,深圳市星商电子商务有限公司,深圳-龙岗区,0.8-1.5万/月,07-19,3-4年经验,本科
Python开发工程师,上海易路软件有限公司,上海-闵行区,1.2-2.8万/月,07-19,2年经验,本科
Python高级开发工程师,阿基米德（上海）传媒有限公司,上海-长宁区,1.5-2万/月,07-19,3-4年经验,本科
Python开发工程师,康博嘉信息科技（北京）股份有限公...,武汉,5.5-7千/月,07-19,无工作经验,本科
Python PHP Java 软件工程师 (双休+10天年假),宁波拔萃网络科技有限公司,宁波-海曙区,5-6千/月,07-19,1年经验,本科
Python高级开发工程师,西安比尔电子科技有限公司,西安-雁塔区,5-7千/月,07-19,3-4年经验,大专
python开发,上海坤雷实业有限公司,上海-浦东新区,6-8千/月,07-19,无工作经验,大专
急招Python开发程序员/可实习,郑州瑞庭网络科技有限公司,郑州-管城回族区,3.2-6千/月,07-19,无工作经验,大专
Python技术支持工程师（上海）,北京推想科技有限公司,上海,1-2万/月,07-19,2年经验,本科
Python开发工程师,AMARIS摩芮思科技咨询（上海）有限...,上海-闵行区,1-1.5万/月,07-19,无工作经验,本科
Python开发工程师-QT方向,深圳市同和信息技术有限公司,深圳-南山区,1-1.5万/月,07-19,3-4年经验,本科
Python开发工程师,北京腾信软创科技股份有限公司,南京-建邺区,1-1.5万/月,07-19,2年经验,本科
Python数据分析工程师,西安酷聊智能科技有限公司,西安-高新技术...,0.6-1万/月,07-19,1年经验,本科
python课程助教,广州迈沃信息科技有限公司,广州-天河区,1-1.3万/月,07-19,2年经验,本科
Python开发工程师 RR,同方鼎欣科技股份有限公司,北京-海淀区,1.5-2万/月,07-19,3-4年经验,本科
